subscription_id,user_id,plan_id,start_date,end_date,status,monthly_revenue
1,1,2,2022-10-16,,Active,499.0
2,2,1,2020-01-10,2021-07-03,Cancelled,199.0
3,2,2,2021-08-30,,Active,499.0
4,3,3,2021-09-02,2021-11-01,Cancelled,649.0
5,3,3,2021-12-23,2022-11-18,Cancelled,649.0
6,4,1,2024-12-28,2025-05-27,Cancelled,199.0
7,4,3,2025-06-14,,Active,649.0
8,5,2,2023-07-24,2023-11-21,Cancelled,499.0
9,5,2,2023-12-28,,Active,499.0
10,6,3,2026-05-29,,Active,649.0
11,7,3,2024-10-24,2026-05-17,Cancelled,649.0
12,8,3,2021-09-13,2021-12-12,Cancelled,649.0
13,8,2,2022-01-23,2022-12-19,Cancelled,499.0
14,9,3,2024-09-30,,Active,649.0
15,10,2,2025-06-27,,Active,499.0
16,11,2,2023-09-24,2024-01-22,Cancelled,499.0
17,12,1,2024-09-18,2026-04-11,Cancelled,199.0
18,12,1,2026-04-27,,Active,199.0
19,13,1,2022-10-10,2023-11-04,Cancelled,199.0
20,13,2,2023-12-29,2025-09-19,Cancelled,499.0
21,14,1,2025-10-31,,Active,199.0
22,15,2,2020-10-12,,Active,499.0
23,16,3,2022-03-07,2022-12-02,Cancelled,649.0
24,17,2,2020-11-26,,Active,499.0
25,18,2,2019-10-05,2020-01-03,Cancelled,499.0
26,19,2,2023-08-14,2024-03-11,Cancelled,499.0
27,19,1,2024-05-06,,Active,199.0
28,20,3,2019-11-21,2021-06-13,Cancelled,649.0
29,21,2,2020-09-11,,Active,499.0
30,22,3,2024-09-20,2024-12-19,Cancelled,649.0
31,23,1,2020-10-21,2021-01-19,Cancelled,199.0
32,24,3,2025-06-21,,Active,649.0
33,25,2,2019-05-15,2020-09-06,Cancelled,499.0
34,26,1,2022-06-05,2022-12-02,Cancelled,199.0
35,26,1,2023-01-08,2024-07-31,Cancelled,199.0
36,27,3,2019-07-03,2019-12-30,Cancelled,649.0
37,28,2,2019-06-13,,Active,499.0
38,29,2,2024-12-05,,Active,499.0
39,30,1,2019-07-02,2020-03-28,Cancelled,199.0
40,31,2,2025-09-09,,Active,499.0
41,32,1,2023-06-27,,Active,199.0
42,33,3,2022-08-14,,Active,649.0
43,34,2,2025-11-20,,Active,499.0
44,35,1,2021-11-27,2023-05-21,Cancelled,199.0
45,35,2,2023-05-26,2023-06-25,Cancelled,499.0
46,36,3,2021-12-30,2022-03-30,Cancelled,649.0
47,36,1,2022-04-13,,Active,199.0
48,37,1,2022-01-27,2022-08-25,Cancelled,199.0
49,37,2,2022-09-13,2023-06-10,Cancelled,499.0
50,37,2,2023-08-05,2023-12-03,Cancelled,499.0
51,38,2,2023-11-17,2025-07-09,Cancelled,499.0
52,38,1,2025-07-20,,Active,199.0
53,39,1,2025-05-08,,Active,199.0
54,40,3,2023-01-24,2024-11-14,Cancelled,649.0
55,41,1,2021-02-08,,Active,199.0
56,42,2,2025-09-02,,Active,499.0
57,43,2,2023-06-28,,Active,499.0
58,44,2,2025-03-29,2026-01-23,Cancelled,499.0
59,44,1,2026-02-11,,Active,199.0
60,45,3,2022-03-29,2023-02-22,Cancelled,649.0
61,46,1,2020-06-29,,Active,199.0
62,47,3,2026-01-30,,Active,649.0
63,48,2,2024-01-30,2025-02-23,Cancelled,499.0
64,49,1,2021-04-22,2021-06-21,Cancelled,199.0
65,49,2,2021-06-23,2021-07-23,Cancelled,499.0
66,50,3,2025-05-09,2025-11-05,Cancelled,649.0
67,50,1,2025-12-01,2026-01-30,Cancelled,199.0
68,51,1,2019-01-25,2020-12-15,Cancelled,199.0
69,51,1,2021-01-01,2021-07-30,Cancelled,199.0
70,52,1,2025-12-22,2026-03-22,Cancelled,199.0
71,53,2,2023-05-04,2024-03-29,Cancelled,499.0
72,54,1,2023-06-04,2024-03-30,Cancelled,199.0
73,54,2,2024-04-02,2024-08-30,Cancelled,499.0
74,54,3,2024-10-21,2026-04-14,Cancelled,649.0
75,55,1,2019-02-06,2019-08-05,Cancelled,199.0
76,55,2,2019-09-07,2021-04-29,Cancelled,499.0
77,56,3,2020-04-26,2020-07-25,Cancelled,649.0
78,57,2,2024-05-27,2025-01-22,Cancelled,499.0
79,58,2,2023-03-09,,Active,499.0
80,59,3,2019-12-16,2021-10-06,Cancelled,649.0
81,60,3,2023-12-29,2024-09-24,Cancelled,649.0
82,60,3,2024-10-13,2025-10-08,Cancelled,649.0
83,60,2,2025-10-14,2026-05-12,Cancelled,499.0
84,61,3,2024-08-05,,Active,649.0
85,62,2,2021-01-16,2021-04-16,Cancelled,499.0
86,63,3,2024-03-02,2024-09-28,Cancelled,649.0
87,64,2,2026-04-18,2026-05-18,Cancelled,499.0
88,65,2,2022-08-13,2023-06-09,Cancelled,499.0
89,66,2,2020-09-19,,Active,499.0
90,67,1,2026-03-18,,Active,199.0
91,68,3,2025-10-31,,Active,649.0
92,69,3,2022-06-04,,Active,649.0
93,70,3,2022-03-10,2023-11-30,Cancelled,649.0
94,71,2,2025-04-02,,Active,499.0
95,72,2,2019-01-02,2019-07-31,Cancelled,499.0
96,72,2,2019-09-08,2021-03-31,Cancelled,499.0
97,73,2,2021-05-05,2021-07-04,Cancelled,499.0
98,73,1,2021-07-27,,Active,199.0
99,74,3,2023-01-27,2024-12-17,Cancelled,649.0
100,74,3,2025-01-18,2026-01-13,Cancelled,649.0
101,74,1,2026-03-12,,Active,199.0
102,75,2,2023-11-26,2024-09-21,Cancelled,499.0
103,75,2,2024-11-10,2025-11-05,Cancelled,499.0
104,75,1,2025-12-30,,Active,199.0
105,76,2,2023-09-17,2023-12-16,Cancelled,499.0
106,76,1,2023-12-27,,Active,199.0
107,77,1,2021-10-11,2022-03-10,Cancelled,199.0
108,77,3,2022-03-15,2022-12-10,Cancelled,649.0
109,78,3,2025-07-08,,Active,649.0
110,79,2,2023-11-14,,Active,499.0
111,80,2,2023-01-20,2024-04-14,Cancelled,499.0
112,80,2,2024-06-01,,Active,499.0
113,81,2,2026-01-14,,Active,499.0
114,82,2,2019-09-15,2021-01-07,Cancelled,499.0
115,82,1,2021-02-13,2022-02-08,Cancelled,199.0
116,82,3,2022-03-03,,Active,649.0
117,83,1,2024-04-27,,Active,199.0
118,84,1,2025-12-12,,Active,199.0
119,85,1,2023-12-18,2024-09-13,Cancelled,199.0
120,86,2,2023-03-28,2024-12-17,Cancelled,499.0
121,87,1,2021-09-24,2022-10-19,Cancelled,199.0
122,88,2,2021-01-13,2022-01-08,Cancelled,499.0
123,88,3,2022-03-07,,Active,649.0
124,89,3,2023-02-03,2024-10-25,Cancelled,649.0
125,90,2,2025-09-27,,Active,499.0
126,91,1,2022-06-19,,Active,199.0
127,92,2,2019-11-28,,Active,499.0
128,93,1,2022-08-17,2022-10-16,Cancelled,199.0
129,93,1,2022-10-25,2024-06-16,Cancelled,199.0
130,93,3,2024-07-24,2025-05-20,Cancelled,649.0
131,94,2,2019-09-24,2020-01-22,Cancelled,499.0
132,95,3,2026-01-07,,Active,649.0
133,96,3,2023-01-04,2024-03-29,Cancelled,649.0
134,96,3,2024-04-08,2025-06-02,Cancelled,649.0
135,97,2,2020-08-08,,Active,499.0
136,98,2,2023-09-07,,Active,499.0
137,99,1,2023-01-12,,Active,199.0
138,100,3,2022-10-31,2022-12-30,Cancelled,649.0
139,101,3,2023-06-09,,Active,649.0
140,102,2,2025-12-18,,Active,499.0
141,103,2,2025-06-01,,Active,499.0
142,104,2,2020-12-20,,Active,499.0
143,105,2,2020-10-18,,Active,499.0
144,106,1,2026-06-04,,Active,199.0
145,107,2,2023-11-01,2024-12-25,Cancelled,499.0
146,107,3,2025-01-21,2025-06-20,Cancelled,649.0
147,108,3,2019-02-22,2020-04-17,Cancelled,649.0
148,108,2,2020-06-10,2020-12-07,Cancelled,499.0
149,108,2,2021-01-21,2022-06-15,Cancelled,499.0
150,109,3,2022-12-21,2023-10-17,Cancelled,649.0
151,109,2,2023-10-24,2024-01-22,Cancelled,499.0
152,110,3,2019-11-21,2021-05-14,Cancelled,649.0
153,110,1,2021-05-16,2023-02-05,Cancelled,199.0
154,110,3,2023-03-10,,Active,649.0
155,111,3,2019-03-23,,Active,649.0
156,112,3,2020-05-23,,Active,649.0
157,113,2,2020-11-28,,Active,499.0
158,114,3,2019-08-06,2021-03-28,Cancelled,649.0
159,114,1,2021-04-06,2022-06-30,Cancelled,199.0
160,115,2,2025-04-06,2025-12-02,Cancelled,499.0
161,116,1,2022-04-14,2022-05-14,Cancelled,199.0
