rating_id,user_id,show_id,rating,rating_date
1,919,s5016,5,2022-10-17
2,5354,s5272,4,2025-05-02
3,702,s2996,4,2026-01-03
4,4008,s3105,5,2020-03-22
5,5183,s1926,5,2020-02-11
6,5805,s3594,5,2021-12-01
7,4500,s3596,4,2019-12-12
8,1154,s6127,5,2025-10-03
9,1670,s1932,4,2021-09-16
10,3716,s6780,3,2025-01-02
11,4940,s5259,3,2025-04-30
12,989,s1926,4,2019-07-20
13,3017,s7864,1,2022-12-26
14,5552,s7462,3,2021-12-23
15,1453,s5274,5,2023-03-08
16,1350,s4782,5,2023-07-01
17,2023,s6320,5,2025-11-12
18,1691,s1878,5,2023-03-24
19,5004,s3410,4,2025-09-08
20,5979,s2361,4,2019-01-19
21,5490,s1366,5,2021-04-13
22,1050,s5714,5,2026-04-08
23,3186,s6526,4,2020-05-23
24,3531,s8016,4,2022-06-30
25,3472,s3999,4,2021-02-23
26,2950,s5725,5,2023-01-28
27,3254,s2519,3,2020-04-20
28,2201,s5793,3,2022-11-14
29,4249,s4198,3,2025-09-08
30,700,s1617,4,2025-09-10
31,465,s2339,5,2024-03-11
32,3229,s2578,5,2026-01-28
33,4756,s2918,4,2020-05-11
34,5483,s5361,4,2024-12-01
35,3028,s696,4,2021-09-07
36,4535,s75,2,2023-01-11
37,685,s2014,3,2022-11-14
38,3141,s3201,4,2026-06-03
39,512,s7419,5,2020-02-05
40,5931,s7422,5,2026-01-12
41,5014,s7694,5,2020-06-08
42,2039,s7688,1,2025-03-19
43,2142,s6862,3,2019-09-19
44,979,s793,5,2026-01-16
45,2480,s3353,5,2026-01-02
46,5269,s6533,4,2020-05-24
47,3885,s6436,3,2021-11-08
48,552,s978,5,2025-07-02
49,1871,s4956,5,2024-03-17
50,3183,s2087,4,2021-08-02
51,563,s7300,5,2021-08-16
52,1653,s8049,4,2019-01-04
53,2045,s7561,1,2020-01-09
54,887,s3509,3,2021-06-01
55,480,s6643,1,2019-12-11
56,410,s232,3,2023-05-08
57,3712,s8318,1,2020-08-05
58,3050,s4875,3,2022-02-07
59,370,s612,4,2025-11-30
60,4118,s3122,4,2019-11-09
61,396,s8441,2,2025-07-21
62,1838,s6037,5,2022-05-24
